Date,Close
1/2/2015 16:00:00,162.06
1/5/2015 16:00:00,159.51
1/6/2015 16:00:00,156.07
1/7/2015 16:00:00,155.05
1/8/2015 16:00:00,158.42
1/9/2015 16:00:00,159.11
1/12/2015 16:00:00,156.44
1/13/2015 16:00:00,156.81
1/14/2015 16:00:00,155.8
1/15/2015 16:00:00,154.57
1/16/2015 16:00:00,157.14
1/20/2015 16:00:00,156.95
1/21/2015 16:00:00,152.09
1/22/2015 16:00:00,155.39
1/23/2015 16:00:00,155.87
1/26/2015 16:00:00,156.36
1/27/2015 16:00:00,153.67
1/28/2015 16:00:00,151.55
1/29/2015 16:00:00,155.48
1/30/2015 16:00:00,153.31
2/2/2015 16:00:00,154.66
2/3/2015 16:00:00,158.47
2/4/2015 16:00:00,156.96
2/5/2015 16:00:00,157.91
2/6/2015 16:00:00,156.72
2/9/2015 16:00:00,155.75
2/10/2015 16:00:00,158.56
2/11/2015 16:00:00,158.2
2/12/2015 16:00:00,158.52
2/13/2015 16:00:00,160.4
2/17/2015 16:00:00,160.96
2/18/2015 16:00:00,162.19
2/19/2015 16:00:00,163.89
2/20/2015 16:00:00,163.65
2/23/2015 16:00:00,162.91
2/24/2015 16:00:00,164.83
2/25/2015 16:00:00,162.81
2/26/2015 16:00:00,160.87
2/27/2015 16:00:00,161.94
3/2/2015 16:00:00,160.48
3/3/2015 16:00:00,161.03
3/4/2015 16:00:00,159.42
3/5/2015 16:00:00,161.18
3/6/2015 16:00:00,158.5
3/9/2015 16:00:00,160.77
3/10/2015 16:00:00,157.81
3/11/2015 16:00:00,156.8
3/12/2015 16:00:00,157.98
3/13/2015 16:00:00,154.28
3/16/2015 16:00:00,157.08
3/17/2015 16:00:00,156.96
3/18/2015 16:00:00,159.81
3/19/2015 16:00:00,159.81
3/20/2015 16:00:00,162.88
3/23/2015 16:00:00,164.63
3/24/2015 16:00:00,163
3/25/2015 16:00:00,159.2
3/26/2015 16:00:00,160.59
3/27/2015 16:00:00,160.4
3/30/2015 16:00:00,162.67
3/31/2015 16:00:00,160.5
4/1/2015 16:00:00,159.18
4/2/2015 16:00:00,160.45
4/6/2015 16:00:00,162.04
4/7/2015 16:00:00,162.07
4/8/2015 16:00:00,161.85
4/9/2015 16:00:00,162.34
4/10/2015 16:00:00,162.86
4/13/2015 16:00:00,162.38
4/14/2015 16:00:00,162.3
4/15/2015 16:00:00,164.13
4/16/2015 16:00:00,163.13
4/17/2015 16:00:00,160.67
4/20/2015 16:00:00,166.16
4/21/2015 16:00:00,164.26
4/22/2015 16:00:00,165.36
4/23/2015 16:00:00,170.24
4/24/2015 16:00:00,169.78
4/27/2015 16:00:00,170.73
4/28/2015 16:00:00,173.92
4/29/2015 16:00:00,174.4
4/30/2015 16:00:00,171.29
5/1/2015 16:00:00,173.67
5/4/2015 16:00:00,173.97
5/5/2015 16:00:00,173.08
5/6/2015 16:00:00,170.05
5/7/2015 16:00:00,170.99
5/8/2015 16:00:00,172.68
5/11/2015 16:00:00,171.12
5/12/2015 16:00:00,170.55
5/13/2015 16:00:00,172.28
5/14/2015 16:00:00,174.05
5/15/2015 16:00:00,173.26
5/18/2015 16:00:00,173.06
5/19/2015 16:00:00,173.48
5/20/2015 16:00:00,173.76
5/21/2015 16:00:00,173.34
5/22/2015 16:00:00,172.22
5/26/2015 16:00:00,170.13
5/27/2015 16:00:00,172
5/28/2015 16:00:00,171.71
5/29/2015 16:00:00,169.65
6/1/2015 16:00:00,170.18
6/2/2015 16:00:00,169.65
6/3/2015 16:00:00,169.92
6/4/2015 16:00:00,168.38
6/5/2015 16:00:00,167.4
6/8/2015 16:00:00,165.34
6/9/2015 16:00:00,165.68
6/10/2015 16:00:00,168.92
6/11/2015 16:00:00,168.78
6/12/2015 16:00:00,166.99
6/15/2015 16:00:00,166.26
6/16/2015 16:00:00,166.84
6/17/2015 16:00:00,167.17
6/18/2015 16:00:00,168.25
6/19/2015 16:00:00,166.99
6/22/2015 16:00:00,167.73
6/23/2015 16:00:00,168.62
6/24/2015 16:00:00,166.97
6/25/2015 16:00:00,166.08
6/26/2015 16:00:00,165.46
6/29/2015 16:00:00,162.97
6/30/2015 16:00:00,162.66
7/1/2015 16:00:00,164.49
7/2/2015 16:00:00,165.09
7/6/2015 16:00:00,164.73
7/7/2015 16:00:00,165
7/8/2015 16:00:00,163.16
7/9/2015 16:00:00,163.85
7/10/2015 16:00:00,166.95
7/13/2015 16:00:00,169.38
7/14/2015 16:00:00,168.61
7/15/2015 16:00:00,168.53
7/16/2015 16:00:00,171
7/17/2015 16:00:00,172.51
7/20/2015 16:00:00,173.22
7/21/2015 16:00:00,163.07
7/22/2015 16:00:00,160.35
7/23/2015 16:00:00,161.73
7/24/2015 16:00:00,159.75
7/27/2015 16:00:00,159.07
7/28/2015 16:00:00,160.05
7/29/2015 16:00:00,161.09
7/30/2015 16:00:00,160.96
7/31/2015 16:00:00,161.99
8/3/2015 16:00:00,158.71
8/4/2015 16:00:00,157.6
8/5/2015 16:00:00,157.9
8/6/2015 16:00:00,156.32
8/7/2015 16:00:00,155.12
8/10/2015 16:00:00,156.75
8/11/2015 16:00:00,155.51
8/12/2015 16:00:00,156.16
8/13/2015 16:00:00,155.07
8/14/2015 16:00:00,155.75
8/17/2015 16:00:00,156.31
8/18/2015 16:00:00,156.01
8/19/2015 16:00:00,153.94
8/20/2015 16:00:00,152.66
8/21/2015 16:00:00,148.85
8/24/2015 16:00:00,143.47
8/25/2015 16:00:00,140.96
8/26/2015 16:00:00,146.7
8/27/2015 16:00:00,148.54
8/28/2015 16:00:00,147.98
8/31/2015 16:00:00,147.89
9/1/2015 16:00:00,142.68
9/2/2015 16:00:00,145.05
9/3/2015 16:00:00,146.78
9/4/2015 16:00:00,143.7
9/8/2015 16:00:00,147.23
9/9/2015 16:00:00,145.05
9/10/2015 16:00:00,146.2
9/11/2015 16:00:00,147.37
9/14/2015 16:00:00,145.65
9/15/2015 16:00:00,147.53
9/16/2015 16:00:00,148.41
9/17/2015 16:00:00,148.14
9/18/2015 16:00:00,144.51
9/21/2015 16:00:00,146.48
9/22/2015 16:00:00,144.43
9/23/2015 16:00:00,143.66
9/24/2015 16:00:00,144.41
9/25/2015 16:00:00,145.42
9/28/2015 16:00:00,142.52
9/29/2015 16:00:00,142.47
9/30/2015 16:00:00,144.97
10/1/2015 16:00:00,143.59
10/2/2015 16:00:00,144.58
10/5/2015 16:00:00,149.04
10/6/2015 16:00:00,148.78
10/7/2015 16:00:00,150.09
10/8/2015 16:00:00,152.28
10/9/2015 16:00:00,152.39
10/12/2015 16:00:00,151.14
10/13/2015 16:00:00,149.62
10/14/2015 16:00:00,150.01
10/15/2015 16:00:00,150.09
10/16/2015 16:00:00,150.39
10/19/2015 16:00:00,149.22
10/20/2015 16:00:00,140.64
10/21/2015 16:00:00,140.92
10/22/2015 16:00:00,144.09
10/23/2015 16:00:00,144.68
10/26/2015 16:00:00,143.66
10/27/2015 16:00:00,137.86
10/28/2015 16:00:00,140.83
10/29/2015 16:00:00,140.55
10/30/2015 16:00:00,140.08
11/2/2015 16:00:00,140.37
11/3/2015 16:00:00,141.88
11/4/2015 16:00:00,141.63
11/5/2015 16:00:00,139.89
11/6/2015 16:00:00,138.25
11/9/2015 16:00:00,135.31
11/10/2015 16:00:00,135.47
11/11/2015 16:00:00,135.02
11/12/2015 16:00:00,133.04
11/13/2015 16:00:00,131.75
11/16/2015 16:00:00,133.71
11/17/2015 16:00:00,133.82
11/18/2015 16:00:00,135.82
11/19/2015 16:00:00,136.74
11/20/2015 16:00:00,138.5
11/23/2015 16:00:00,138.46
11/24/2015 16:00:00,138.6
11/25/2015 16:00:00,138
11/27/2015 16:00:00,138.46
11/30/2015 16:00:00,139.42
12/1/2015 16:00:00,141.28
12/2/2015 16:00:00,139.7
12/3/2015 16:00:00,138.92
12/4/2015 16:00:00,140.43
12/7/2015 16:00:00,139.55
12/8/2015 16:00:00,138.05
12/9/2015 16:00:00,136.61
12/10/2015 16:00:00,136.78
12/11/2015 16:00:00,134.57
12/14/2015 16:00:00,135.93
12/15/2015 16:00:00,137.79
